GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PsUser,7,47,1,1,2,17,3,8,2,8
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,UserView,0,21,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PasswordChangeController,0,100,1,7,0,23,1,6,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PsUserDetailsService,16,49,2,2,1,12,2,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController,238,738,29,53,7,153,30,38,3,24
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.AssignByIdRequest,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController,106,666,15,35,3,131,15,40,2,28
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController.HistoryRequest,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.PositionRequest,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController,5,64,0,0,0,16,1,4,1,4
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchCriteria,216,163,0,0,8,6,8,6,8,6
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerQueryService,0,348,1,13,0,80,1,21,0,15
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerContactView,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerFreelancerView,0,24,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchResult,0,21,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerDetailView,0,57,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerProjectView,5,21,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerHistoryView,0,30,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.api,StammdatenController,7,228,0,2,2,52,1,17,1,16
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateTagException,0,6,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagCommandService,7,52,0,2,2,13,0,5,0,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistoryEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerContact,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistory,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,Freelancer,80,182,0,0,20,55,20,55,20,55
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTag,32,20,0,0,9,6,9,6,9,6
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagEntry,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHasPositionsException,0,12,0,0,0,4,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerLookupResult,0,12,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateCodeException,0,5,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerCommandService,16,344,8,34,4,79,8,25,1,11
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerContactEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeSearchCriteria,189,190,0,0,7,7,7,7,7,7
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeContactView,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeHistoryView,0,30,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeProjectListItem,5,21,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeQueryService,11,361,7,16,4,80,7,21,0,15
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeDetailView,0,57,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.query,KundeSearchResult,0,21,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,Kunde,28,101,0,0,7,30,7,30,7,30
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeHistory,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeContactEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeCommandService,0,214,2,20,0,52,2,15,0,6
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeContact,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeHistoryEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.command,KundeHasProjectsException,0,12,0,0,0,4,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponse,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponseWrapper,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendRequest,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController,373,676,52,38,56,144,39,27,4,15
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,HistoryTypeView,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusQueryService,0,22,0,0,0,11,0,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,TagQueryService,0,26,0,0,0,12,0,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,HistoryTypeQueryService,0,14,0,0,0,7,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusView,0,18,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.query,TagView,0,12,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff,HomeController,2,5,0,0,1,2,1,2,1,2
Integrationstest Coverage,de.mirkosertic.powerstaff,PowerstaffApplication,5,3,0,0,2,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectQueryService,18,354,2,16,3,72,2,17,0,10
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectPositionQueryService,8,63,4,6,3,16,4,5,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectPositionView,0,42,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectSearchResult,0,24,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectDetailView,0,66,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectSearchCriteria,175,151,0,0,7,6,7,6,7,6
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectHistoryQueryService,0,17,0,0,0,7,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.project.query,ProjectHistoryView,0,24,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.config,DevDataConfig,29,0,0,0,7,0,3,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.config,SecurityConfig,0,126,0,0,0,27,0,7,0,7
Integrationstest Coverage,de.mirkosertic.powerstaff.config,AuditingConfig,12,13,5,1,2,5,3,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.api,PartnerController,135,710,20,34,3,149,20,32,2,23
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ContentToken,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService,804,0,70,0,181,0,52,0,17,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,MockLLmService,48,3,2,0,5,1,3,1,2,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.StreamError,6,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchConfig,151,13,9,1,37,3,8,2,3,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentUserMessage,0,4,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchProperties,4,20,0,0,2,7,1,4,1,4
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.new ChatProgressCollector() {...},35,0,2,0,9,0,4,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchChat,9,36,0,0,3,10,3,10,3,10
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.StreamingChatProgressCollector,66,0,2,0,18,0,7,0,6,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentAssistantMessage,0,11,0,0,0,4,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolResult,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpClientFactory,151,10,6,0,39,4,6,2,3,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository,35,444,2,28,11,81,5,20,3,7
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpConnectionProperties,38,27,0,0,16,9,11,2,11,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchMessage,15,44,0,0,5,12,5,12,5,12
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,PersistentToolResponseMessage,0,5,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,McpConnectionException,9,0,0,0,4,0,2,0,2,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ThinkingToken,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchCommandService,0,162,0,8,0,45,0,9,0,5
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.MessageComplete,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolCall,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,ChatProgressCollector,4,4,0,0,4,3,4,3,4,3
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,SimpleLoggerAdvisor,76,0,8,0,21,0,14,0,10,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.command,LlmService.Reply,0,21,0,0,0,1,0,1,0,1
