GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.AssignByIdRequest,6,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.api,ProjectController,772,0,50,0,134,0,55,0,30,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController.HistoryRequest,6,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.PositionRequest,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController,69,0,0,0,16,0,5,0,5,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchCriteria,379,0,0,0,14,0,14,0,14,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerQueryService,348,0,14,0,80,0,22,0,15,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerContactView,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerFreelancerView,24,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchResult,21,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerDetailView,57,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerProjectView,26,0,0,0,2,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.query,PartnerHistoryView,30,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.api,StammdatenController,235,0,2,0,54,0,18,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateTagException,6,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagCommandService,59,0,2,0,15,0,5,0,4,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistoryEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerContact,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistory,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,Freelancer,262,0,0,0,75,0,75,0,75,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTag,52,0,0,0,15,0,15,0,15,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagEntry,9,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHasPositionsException,12,0,0,0,4,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerLookupResult,12,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateCodeException,5,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerCommandService,360,0,42,0,83,0,33,0,12,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerContactEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeSearchCriteria,379,0,0,0,14,0,14,0,14,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeContactView,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.query,KundeHistoryView,30,0,0,0,1,0,1,0,1,0
