GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.command,ProjectHistoryCommandService,10,12,0,0,3,4,2,2,2,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.command,Project,84,69,0,0,21,23,21,22,21,22
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.command,BothFKsException,4,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,PsAuthenticationSuccessHandler,4,27,1,1,1,10,1,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,UserQueryService,8,25,0,0,4,12,1,3,1,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,MustChangePasswordFilter,4,63,3,7,2,17,3,5,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,PasswordChangeController.PasswordChangeCommand,3,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,UserController,107,208,21,27,28,45,20,13,0,9
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,UserCommandService,12,71,2,4,3,17,3,8,1,7
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,PsUser,7,47,1,1,2,17,3,8,2,8
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,UserView,0,21,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,PasswordChangeController,91,9,8,0,19,4,6,1,2,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.auth,PsUserDetailsService,8,57,1,3,0,13,2,3,1,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.api,FreelancerController,242,734,18,64,44,116,26,42,10,17
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.api,ProjectController.AssignByIdRequest,0,6,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.api,ProjectController,318,454,15,35,63,71,28,27,17,13
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.api,ProjectHistoryController.HistoryRequest,0,6,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.api,ProjectController.PositionRequest,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.api,ProjectHistoryController,38,31,0,0,7,9,3,2,3,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerSearchCriteria,340,39,0,0,13,1,13,1,13,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerQueryService,51,297,2,12,18,62,7,15,5,10
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerContactView,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerFreelancerView,0,24,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerSearchResult,0,21,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerDetailView,57,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerProjectView,0,26,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.query,PartnerHistoryView,0,30,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.api,StammdatenController,2,233,0,2,1,53,1,17,1,16
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,DuplicateTagException,6,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerTagCommandService,53,6,2,0,12,3,4,1,3,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerHistoryEntry,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerContact,59,0,0,0,17,0,17,0,17,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerHistory,44,15,0,0,13,4,13,4,13,4
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,Freelancer,28,234,0,0,7,68,7,68,7,68
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerTag,52,0,0,0,15,0,15,0,15,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerTagEntry,9,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerHasPositionsException,12,0,0,0,4,0,2,0,2,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerLookupResult,0,12,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,DuplicateCodeException,5,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerCommandService,216,144,31,11,51,32,24,9,5,7
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.command,FreelancerContactEntry,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeSearchCriteria,340,39,0,0,13,1,13,1,13,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeContactView,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeHistoryView,30,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeProjectListItem,0,26,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeQueryService,62,310,8,15,22,62,13,15,5,10
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeDetailView,57,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.query,KundeSearchResult,0,21,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,Kunde,24,105,0,0,6,31,6,31,6,31
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeHistory,59,0,0,0,17,0,17,0,17,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeContactEntry,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeCommandService,169,45,20,2,40,12,14,3,3,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeContact,59,0,0,0,17,0,17,0,17,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeHistoryEntry,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.command,KundeHasProjectsException,12,0,0,0,4,0,2,0,2,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponse,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponseWrapper,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendRequest,0,6,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController,450,599,51,39,77,123,39,27,6,13
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,HistoryTypeView,0,9,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusQueryService,0,22,0,0,0,11,0,3,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,TagQueryService,0,26,0,0,0,12,0,3,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,HistoryTypeQueryService,0,14,0,0,0,7,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusView,0,18,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.query,TagView,0,12,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff,HomeController,0,7,0,0,0,3,0,3,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff,PowerstaffApplication,0,8,0,0,0,3,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectQueryService,40,332,2,16,14,61,6,13,4,6
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectPositionQueryService,34,37,7,3,9,10,7,2,1,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectPositionView,0,42,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectSearchResult,0,24,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectDetailView,0,66,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectSearchCriteria,290,36,0,0,12,1,12,1,12,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectHistoryQueryService,0,17,0,0,0,7,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.project.query,ProjectHistoryView,0,24,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.config,DevDataConfig,29,0,0,0,7,0,3,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.config,SecurityConfig,0,126,0,0,0,27,0,7,0,7
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.config,AuditingConfig,3,22,3,3,1,6,3,3,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.api,PartnerController,301,544,19,35,60,92,28,24,15,10
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ContentToken,0,6,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService,790,0,70,0,181,0,50,0,15,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,MockLLmService,13,38,0,2,1,5,1,3,1,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.StreamError,6,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchConfig,151,13,9,1,37,3,8,2,3,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,PersistentUserMessage,4,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchProperties,4,20,0,0,2,7,1,4,1,4
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.new ChatProgressCollector() {...},35,0,2,0,9,0,4,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchChat,35,10,0,0,10,3,10,3,10,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService.StreamingChatProgressCollector,66,0,2,0,18,0,7,0,6,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,PersistentAssistantMessage,11,0,0,0,4,0,2,0,2,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolResult,9,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,McpClientFactory,151,10,6,0,39,4,6,2,3,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository,479,0,30,0,92,0,25,0,10,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,McpConnectionProperties,35,30,0,0,15,10,10,3,10,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchMessage,59,0,0,0,17,0,17,0,17,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,PersistentToolResponseMessage,5,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SpringAIChatRepository.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,McpConnectionException,9,0,0,0,4,0,2,0,2,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ThinkingToken,6,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchCommandService,113,49,8,0,29,16,6,3,2,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.MessageComplete,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ToolCall,9,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,ChatProgressCollector,8,0,0,0,7,0,7,0,7,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,SimpleLoggerAdvisor,76,0,8,0,21,0,14,0,10,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.command,LlmService.Reply,21,0,0,0,1,0,1,0,1,0
