GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerHasPositionsException,0,12,0,0,0,4,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerLookupResult,0,12,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,DuplicateCodeException,0,5,0,0,0,2,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerCommandService,9,351,7,35,2,81,7,26,0,12
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerContactEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeSearchCriteria,189,190,0,0,7,7,7,7,7,7
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeContactView,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeHistoryView,0,30,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeProjectListItem,0,26,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeQueryService,11,361,6,17,4,80,6,22,0,15
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeDetailView,0,57,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.query,KundeSearchResult,0,21,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,Kunde,16,113,0,0,4,33,4,33,4,33
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeHistory,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeContactEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeCommandService,0,214,2,20,0,52,2,15,0,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeContact,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeHistoryEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.command,KundeHasProjectsException,0,12,0,0,0,4,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponse,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendResponseWrapper,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController.SendRequest,0,6,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.api,ProfileSearchController,211,820,21,63,33,162,20,42,2,16
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,HistoryTypeView,0,9,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusQueryService,0,22,0,0,0,11,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,TagQueryService,0,26,0,0,0,12,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,HistoryTypeQueryService,0,14,0,0,0,7,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,ProjectPositionStatusView,0,18,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.query,TagView,0,12,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff,HomeController,0,7,0,0,0,3,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff,PowerstaffApplication,0,8,0,0,0,3,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectQueryService,0,372,0,18,0,75,0,19,0,10
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectPositionQueryService,8,63,4,6,3,16,4,5,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectPositionView,0,42,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectSearchResult,0,24,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectDetailView,0,66,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectSearchCriteria,175,151,0,0,7,6,7,6,7,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectHistoryQueryService,0,17,0,0,0,7,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.query,ProjectHistoryView,0,24,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.config,DevDataConfig,29,0,0,0,7,0,3,0,3,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.config,SecurityConfig,0,126,0,0,0,27,0,7,0,7
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.config,AuditingConfig,0,25,1,5,0,7,1,5,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.api,PartnerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.api,PartnerController,16,829,5,49,0,152,7,45,2,23
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.ContentToken,0,6,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,SpringAILlmService,688,102,57,13,155,26,42,8,12,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,MockLLmService,0,51,0,2,0,6,0,4,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,LlmService.ChatStreamEvent.StreamError,6,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,ProfileSearchConfig,82,13,11,1,14,3,8,2,2,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.command,PersistentUserMessage,0,4,0,0,0,2,0,1,0,1
